bet_id;Account_no;Bet_date;Class_ id;Category_id;Source;bet_count;bet_amt;win_amt;Product
1;01196ZZ   ;24/11/2012;22512_XFER;22512;I;189;29364;28947;Vegas
2;00357DG   ;27/11/2012;22512_XFER;22512;I;1415;19835;18639,15;Vegas
3;00357DG   ;24/11/2012;22512_XFER;22512;I;2026;19280,8;17904,5;Vegas
4;01196ZZ   ;19/12/2012;22512_XFER;22512;I;151;17301;16956;Vegas
5;01284UW   ;21/10/2012;46;5;I;25;16850;3319,11;Sportsbook
6;00357DG   ;26/11/2012;22512_XFER;22512;I;1859;16078,5;12299,52;Vegas
7;00357DG   ;17/11/2012;22512_XFER;22512;I;1469;15204;14758,8;Vegas
8;00357DG   ;30/11/2012;22512_XFER;22512;I;920;15000;10169,8;Vegas
9;01284UW   ;14/10/2012;46;5;I;25;13700;10781,59;Sportsbook
10;01284UW   ;16/10/2012;36;5;I;16;13655;20945,93;Sportsbook
11;01284UW   ;03/11/2012;46;5;I;87;13405,14;3500;Sportsbook
12;01284UW   ;10/10/2012;274;5;I;17;12370;0;Sportsbook
13;00357DG   ;15/11/2012;22512_XFER;22512;I;1152;12133;11300,9;Vegas
14;00357DG   ;28/11/2012;22512_XFER;22512;I;507;11614;8729,6;Vegas
15;00357DG   ;05/12/2012;22512_XFER;22512;I;557;11176;9751,6;Vegas
16;01196ZZ   ;15/12/2012;22512_XFER;22512;I;167;10896;10410;Vegas
17;01284UW   ;01/11/2012;46;5;I;34;10674,28;12210;Sportsbook
18;01196ZZ   ;28/11/2012;22512_XFER;22512;I;106;10011;8736;Vegas
19;01148BP   ;17/09/2012;2;9;I;30;9800;8200;Sportsbook
20;01148BP   ;17/11/2012;2;9;I;28;9252,5;15353,75;Sportsbook
21;00357DG   ;14/11/2012;22512_XFER;22512;I;1201;9154,2;7138,3;Vegas
22;01148BP   ;09/10/2012;2;9;I;33;9108,33;14245,83;Sportsbook
23;01196ZZ   ;08/12/2012;22512_XFER;22512;I;90;8815,5;8595;Vegas
24;00357DG   ;23/11/2012;22512_XFER;22512;I;998;8534;7082;Vegas
25;00357DG   ;12/11/2012;613;0;I;988;8472,6;8829,2;Games
26;01148BP   ;10/12/2012;2;9;I;22;7687,5;6587,5;Sportsbook
27;01148BP   ;18/10/2012;2;9;I;17;7625;4925;Sportsbook
28;01148BP   ;07/11/2012;2;9;I;18;7493,75;1593,75;Sportsbook
29;00497XG   ;27/12/2012;601;0;I;1190;7450,2;6870,91;Games
30;01148BP   ;21/10/2012;2;9;I;17;7450;2150;Sportsbook
31;01284UW   ;11/10/2012;36;5;I;8;7150;0;Sportsbook
32;00357DG   ;19/11/2012;22512_XFER;22512;I;1007;6918;3831,35;Vegas
33;01284UW   ;14/10/2012;274;5;I;9;6550;6453,33;Sportsbook
34;00357DG   ;12/11/2012;22512_XFER;22512;I;1042;6538;5236,3;Vegas
35;00357DG   ;20/11/2012;22512_XFER;22512;I;711;6529;3679,25;Vegas
36;01148BP   ;24/10/2012;2;9;I;18;6015,63;8737,52;Sportsbook
37;01148BP   ;02/10/2012;2;9;I;20;5915,65;5203,15;Sportsbook
38;01148BP   ;28/09/2012;2;9;I;19;5887,5;7300;Sportsbook
39;01148BP   ;17/10/2012;2;9;I;19;5800;6605;Sportsbook
40;01148BP   ;27/11/2012;22512_XFER;22512;I;68;5760;6030;Vegas
41;00357DG   ;08/11/2012;22512_XFER;22512;I;1482;5652,4;3412,6;Vegas
42;01148BP   ;05/12/2012;2;9;I;17;5600;4200;Sportsbook
43;01148BP   ;16/09/2012;2;9;I;21;5560,18;5726,25;Sportsbook
44;01152SJ   ;01/12/2012;22528_PRCH;22528;I;3;5451,3013;0;Casino
45;01148BP   ;01/12/2012;2;9;I;15;5350;7350;Sportsbook
46;01148BP   ;09/12/2012;2;9;I;14;5293,75;5393,75;Sportsbook
47;01284UW   ;31/10/2012;1;5;I;35;5290;5720;Sportsbook
48;01148BP   ;20/09/2012;2;9;I;17;5250;5550;Sportsbook
49;01148BP   ;25/10/2012;2;9;I;16;5219,59;6857,42;Sportsbook
50;00357DG   ;29/11/2012;22512_XFER;22512;I;323;5018;2367,3;Vegas
51;01148BP   ;03/10/2012;2;9;I;21;4987,5;1975;Sportsbook
52;01196ZZ   ;20/10/2012;3;8;I;25;4585;3448,75;Sportsbook
53;01148BP   ;19/11/2012;2;9;I;15;4491,15;4925;Sportsbook
54;01148BP   ;06/11/2012;2;9;I;11;4462,5;6487,5;Sportsbook
55;01148BP   ;14/09/2012;2;9;I;17;4460;9228,13;Sportsbook
56;01148BP   ;01/11/2012;2;9;I;10;4390;840;Sportsbook
57;01148BP   ;20/11/2012;2;9;I;11;4300;1550;Sportsbook
58;01196ZZ   ;29/09/2012;2;9;I;20;4290;1825;Sportsbook
59;01196ZZ   ;13/12/2012;22512_XFER;22512;I;39;4265;5940;Vegas
60;01148BP   ;11/12/2012;2;9;I;11;4240;1840;Sportsbook
61;01148BP   ;02/11/2012;2;9;I;8;4237,5;5387,5;Sportsbook
62;01152SJ   ;17/10/2012;22527_PRCH;22527;I;6;4234,6494;0;Poker
63;00357DG   ;06/11/2012;22512_XFER;22512;I;1056;4113;3992,2;Vegas
64;01148BP   ;16/11/2012;2;9;I;11;4106,25;6156,25;Sportsbook
65;01148BP   ;26/10/2012;2;9;I;12;4062,5;3187,5;Sportsbook
